#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
44,"Shut Up And Drive","Rihanna",64,133,"","","Good Girl Gone Bad: Reloaded",2007-03-31,03:32,74,83,0,12,76,0,20,-5,C♯/D♭,4,2022-02-14,7AQjiRtIpr33P8UT98iveh,"Def Jam Recordings",3B,USUM70734703
45,"Makes Me Wonder","Maroon 5",68,114,"pop","Pop","It Won't Be Soon Before Long (International Version)",2007-01-01,03:31,80,85,0,0,88,0,0,-2,G,4,2022-02-14,3PNOYDruQplC92lNc7mE9W,"Interscope Records*",9B,USUM70729755
46,"Gimme More","Britney Spears",84,113,"pop","Pop","Blackout",2007-10-25,04:11,79,84,25,0,38,0,0,-3,D,4,2022-02-14,6ic8OlLUNEATToEFU3xmaH,"Jive",10B,USJI10700609
47,"Ayo Technology","50 Cent, Justin Timberlake, Timbaland",68,140,"east coast hip hop, old school hip hop","Hip Hop","Curtis",2007-01-01,04:07,63,78,8,0,42,10,0,-5,G#/A♭ minor,4,2022-02-14,6kfQDanT6Buh4Wu73ghbav,"Aftermath/Shady",1A,USUM70735445
48,"No One","Alicia Keys",72,90,"r&b, neo soul","R&B","As I Am (Expanded Edition)",2007-11-09,04:13,64,55,2,0,17,0,10,-5,C♯/D♭ minor,4,2022-02-14,6IwKcFdiRQZOWeYNhUiWIv,"J Records",12A,USJAY0700190
49,"The Others","TV Rock, Dukes of Windsor",40,125,"","","The Others",2007-03-20,03:23,64,84,2,0,52,0,0,-2,F#/G♭,4,2022-02-14,6IDeuRVGtp5yVhZIv1oxNm,"Universal Music Australia Pty. Ltd.",2B,AUNE32000151
50,"All Good Things (Come To An End)","Nelly Furtado",70,101,"","","Loose",2006-01-01,05:11,66,65,25,0,39,0,10,-8,A minor,4,2022-02-14,6kEpjptnAwt11Atr4cEMe1,"Mosley / Geffen",8A,USUM70603372
51,"Beautiful Liar","Beyoncé, Shakira",70,92,"latin pop","Latin, Pop","B'Day Deluxe Edition",2007-05-29,03:19,76,75,1,0,42,0,10,-4,G#/A♭,4,2022-02-14,2HWWNoWEEEECwZhAiLg7ib,"Columbia",4B,USSM10700448
52,"Clumsy","Fergie",0,184,"","","The Dutchess",2006-09-13,04:00,73,56,19,0,45,10,30,-4,D,4,2022-02-14,7tawDKBYV9059X92D6dr7R,"Will I Am / Fergie LP1",10B,USUM70609116
53,"Pictures","Sneaky Sound System",49,122,"","","Sneaky Sound System",2006-00-00,03:16,79,91,5,2,94,0,0,-3,E minor,4,2022-02-14,2mNKIuM4xmeTNwe02NOem8,"Whack Records",9A,AUQK00600017
54,"Don't Give Up","Shannon Noll, Natalie Bassingthwaighte",1,81,"","","What Matters The Most",2009-05-01,04:40,40,69,6,0,22,0,10,-4,D#/E♭,3,2022-02-14,6b000K3X9l18PkF372B011,"Sony BMG Music Entertainment",5B,AUBM00600858
55,"Give It To Me","Timbaland, Justin Timberlake, Nelly Furtado",78,111,"","","Shock Value",2007-04-02,03:54,98,71,17,0,82,0,0,-4,G#/A♭,4,2022-02-14,0wbDgMuAoy7O7pL3a69uZx,"Interscope/Blackground Records",4B,USUM70700995
56,"Lost And Running","Powderfinger",48,120,"","","Dream Days At The Hotel Existence",2007-01-01,03:42,54,82,0,0,60,0,50,-7,F,4,2022-02-14,5GZimNKDnE8Gf5sL10oTgB,"Universal Music Australia Pty. Ltd.",7B,AUUM70700139
57,"The Creeps - Radio Edit","Camille Jones, Fedde Le Grand",43,128,"","","The Creeps",2007-00-00,02:30,86,87,26,3,74,0,0,-7,C♯/D♭,4,2022-02-14,1lMilHGUABFaKbh9u6I1QS,"Lifted House",3B,DKUCA0600065
58,"The Pretender","Foo Fighters",78,173,"rock, post-grunge, alternative rock, grunge","Rock","Echoes, Silence, Patience & Grace",2007-09-25,04:29,43,96,0,0,37,0,0,-4,A,4,2022-02-14,7x8dCjCr0x6x2lXKujYD34,"RCA Records Label",11B,USRW30700007
59,"Little Wonders","Rob Thomas",53,168,"","","Meet the Robinsons (Original Motion Picture Soundtrack)",2007-03-27,03:45,24,59,3,0,32,0,0,-10,A,4,2022-02-14,0InW8BolYQOtEilob4C6LO,"Walt Disney Records",11B,USWD10730751
60,"Steer","Missy Higgins",48,120,"","","On A Clear Night (Deluxe)",2007-00-00,03:51,57,67,9,0,30,0,20,-7,E,4,2022-02-14,6NpO2qjMkMhmncI6hdhTH2,"Universal Music Australia Pty. Ltd.",12B,AUEL00700022
61,"My Love (feat. T.I.)","Justin Timberlake, T.I.",82,120,"southern hip hop","Hip Hop","FutureSex/LoveSounds Deluxe Edition",2006-09-13,04:36,77,68,28,0,81,20,60,-6,B minor,4,2022-02-14,4NeOWqHmlrGRuBvsLJC9rL,"Jive",10A,USJI10600477
62,"Don't Matter","Akon",1,125,"","","Konvicted",2006-00-00,04:53,80,45,23,0,34,0,20,-6,D,4,2022-02-14,12yGwtB2h9NlzeOKYfVYTF,"Konvict/Upfront/SRC/Universal Records",10B,USUM70615300
63,"Don't Hold Back","The Potbelleez",47,128,"","","The Potbelleez",2016-06-03,03:35,65,81,0,0,31,0,10,-5,F#/G♭,4,2022-02-14,3XC7jqT27zQWdesY2rbwMf,"Universal Music Australia Pty. Ltd.",2B,AUNV01600917
64,"I Don't Feel Like Dancin'","Scissor Sisters",59,108,"","","Ta-Dah",2006-01-01,04:48,71,92,2,0,83,0,30,-3,G,4,2022-02-14,13pyGLYmBjYgvOMIEivX2K,"Polydor Records",9B,GBUM70602587
65,"Teenagers","My Chemical Romance",81,112,"emo, pop punk","Rock, Pop","The Black Parade",2006-10-20,02:41,46,86,5,0,86,0,10,-3,E,4,2022-02-14,7j31rVgGX9Q2blT92VBEA0,"Reprise",12B,USRE10602912
66,"SexyBack (feat. Timbaland)","Justin Timberlake, Timbaland",85,117,"","","FutureSex/LoveSounds",2006-09-12,04:02,97,58,6,0,96,0,0,-6,G minor,4,2022-02-14,0O45fw2L5vsWpdsOdXwNAR,"Jive",6A,USJI10600269
67,"Opinions Won't Keep You Warm At Night","Kisschasy",44,144,"","","Hymns For The Non-Believer",2007-00-00,03:06,43,96,0,0,73,0,10,-3,G minor,4,2022-02-14,1i7fXPo9EG1wNfXC3VrV91,"Universal Music Australia Pty. Ltd.",6A,AUAY00700227
68,"Don't You Wanna Feel","Rogue Traders",21,170,"","","The Sound Of Drums",2003-00-00,03:17,41,72,0,0,62,0,20,-6,A,4,2022-02-14,2MxvlboakUTeqVPamhUNcM,"Sony Music Entertainment",11B,AUBM00700634
