#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
11,"Wild Ones (feat. Sia)","Flo Rida, Sia",81,127,"","","Wild Ones",2012-06-22,03:52,61,86,10,0,44,0,20,-5,F minor,4,2019-09-18,1NpW5kyvO4XrNJ3rnfcNy3,"Poe Boy/Atlantic",4A,USAT21104103
12,"Set Fire to the Rain","Adele",82,108,"soft pop","Pop","21",2011-01-24,04:02,60,67,0,0,45,0,10,-4,D minor,4,2024-08-11,3di5hcvxxciiqwMH1jarhY,"XL Recordings",7A,GBBKS1000348
13,"Sexy And I Know It","LMFAO",64,130,"","","Sorry For Party Rocking (Deluxe Version)",2011-01-01,03:19,71,86,10,0,80,30,10,-4,G,4,2019-09-18,0obBFrPYkSoBJbvHfUIhkv,"Will I Am / A&M",9B,USUM71108090
14,"Some Nights","fun.",69,108,"","","Some Nights",2012-02-14,04:37,67,74,2,0,39,0,0,-7,C,4,2019-09-18,67WTwafOMgegV6ABnBQxcE,"Fueled By Ramen",8B,USAT21104050
15,"Wide Awake","Katy Perry",75,160,"pop","Pop","Teenage Dream: The Complete Confection",2012-03-12,03:40,52,68,7,0,57,0,30,-5,F,4,2019-09-18,5JLv62qFIS1DR3zGEcApRt,"Capitol Records",7B,USCA21200932
16,"Good Feeling","Flo Rida",80,128,"","","Wild Ones",2012-06-22,04:08,71,89,6,0,68,0,30,-4,C♯/D♭ minor,4,2019-09-18,2LEF1A8DOZ9wRYikWgVlZ8,"Poe Boy/Atlantic",12A,USAT21101961
17,"Whistle","Flo Rida",78,104,"","","Wild Ones",2012-06-22,03:44,75,94,2,0,74,0,20,-6,C,4,2019-09-18,3bC1ahPIYt1btJzSSEyyrF,"Poe Boy/Atlantic",8B,USAT21201745
18,"One More Night","Maroon 5",74,93,"pop","Pop","Overexposed (Deluxe)",2012-01-01,03:39,72,82,4,0,61,0,0,-3,F minor,4,2019-09-18,4XNrMwGx1SqP01sqkGTDmo,"Interscope Records*",4A,USUM71203514
19,"Drive By","Train",78,122,"soft pop","Pop","California 37",2012-04-17,03:15,77,84,0,0,72,0,0,-3,C♯/D♭ minor,4,2019-09-18,0KAiuUOrLTIkzkpfpn9jb9,"Columbia",12A,USSM11106876
20,"The Motto","Drake, Lil Wayne",74,202,"rap, hip hop","Hip Hop","Take Care (Deluxe)",2011-11-15,03:01,77,44,0,0,39,30,10,-9,C♯/D♭,4,2024-08-11,4Kz4RdRCceaA9VgTqBhBfa,"Cash Money Records/Young Money Ent./Universal Rec.",3B,USCM51100731
