artist_norm,track_norm,peak_position,first_week,last_week,weeks_on,genre,track_id,artist_popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,inverse_rank,top10,release_q,recession_t,event_time_k
adele,chasing pavements,21,2008-11-08,2009-03-07,7,Soul,71WAtDcWVYMoCsblD2uQXx,65.0,0.312,0.621,210507.0,0.473,0.0,F,0.11,-6.07,Minor,0.0251,80.027,4/4,0.325,80,0,2008Q4,1,4
afi,love like winter,68,2006-12-30,2007-01-27,5,Alternative,3cDE9Yn4GrsxSrlMCLdmTT,47.0,0.000363,0.59,165653.0,0.912,5.14e-05,A#,0.0437,-4.815,Minor,0.0614,120.008,4/4,0.535,33,0,2006Q4,0,-4
afi,miss murder,24,2006-05-13,2006-09-30,20,Alternative,0Ti2dlF2xLjXblvdU5fCxM,67.0,0.000213,0.309,206587.0,0.875,0.00168,C#,0.113,-4.49,Major,0.0488,143.526,4/4,0.725,77,0,2006Q2,0,-6
afi,miss murder,24,2006-05-13,2006-09-30,20,Pop,0Ti2dlF2xLjXblvdU5fCxM,71.0,0.000213,0.309,206587.0,0.875,0.00168,C#,0.113,-4.49,Major,0.0488,143.526,4/4,0.725,77,0,2006Q2,0,-6
akon,dont matter,1,2007-02-03,2007-07-07,23,Dance,7I6DceMT3utDOHjcYCbrr4,66.0,0.24,0.79,293053.0,0.457,0.0,D,0.222,-6.231,Major,0.0414,125.249,4/4,0.355,100,1,2007Q1,0,-3
akon,dont matter,1,2007-02-03,2007-07-07,23,Pop,7I6DceMT3utDOHjcYCbrr4,67.0,0.24,0.79,293053.0,0.457,0.0,D,0.222,-6.231,Major,0.0414,125.249,4/4,0.355,100,1,2007Q1,0,-3
akon,dont matter,1,2007-02-03,2007-07-07,23,Rap,7I6DceMT3utDOHjcYCbrr4,67.0,0.24,0.79,293053.0,0.457,0.0,D,0.222,-6.231,Major,0.0414,125.249,4/4,0.355,100,1,2007Q1,0,-3
akon,dont matter,1,2007-02-03,2007-07-07,23,R&B,7I6DceMT3utDOHjcYCbrr4,67.0,0.24,0.79,293053.0,0.457,0.0,D,0.222,-6.231,Major,0.0414,125.249,4/4,0.355,100,1,2007Q1,0,-3
akon,right now,8,2008-10-11,2009-03-07,22,Dance,1ARJhjuI6TNYZCxYygFQ4F,67.0,0.283,0.816,240747.0,0.851,0.0,G#,0.543,-4.166,Minor,0.19,137.968,4/4,0.568,93,1,2008Q4,1,4
akon,right now,8,2008-10-11,2009-03-07,22,Pop,1ARJhjuI6TNYZCxYygFQ4F,68.0,0.283,0.816,240747.0,0.851,0.0,G#,0.543,-4.166,Minor,0.19,137.968,4/4,0.568,93,1,2008Q4,1,4
akon,right now,8,2008-10-11,2009-03-07,22,Rap,1ARJhjuI6TNYZCxYygFQ4F,68.0,0.283,0.816,240747.0,0.851,0.0,G#,0.543,-4.166,Minor,0.19,137.968,4/4,0.568,93,1,2008Q4,1,4
akon,right now,8,2008-10-11,2009-03-07,22,R&B,1ARJhjuI6TNYZCxYygFQ4F,68.0,0.283,0.816,240747.0,0.851,0.0,G#,0.543,-4.166,Minor,0.19,137.968,4/4,0.568,93,1,2008Q4,1,4
akon,sorry blame it on me,7,2007-08-04,2007-12-08,19,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,94,1,2007Q3,0,-1
akon featuring colby odonis kardinal offishall,beautiful,19,2008-12-20,2009-05-16,22,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,82,0,2008Q4,1,4
akon featuring eminem,smack that,2,2006-10-07,2007-04-28,30,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,99,1,2006Q4,0,-4
akon featuring lil wayne young jeezy,im so paid,31,2008-10-25,2009-03-14,20,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,70,0,2008Q4,1,4
akon featuring snoop dogg,i wanna love you,1,2006-10-14,2007-04-28,29,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,100,1,2006Q4,0,-4
akon featuring sweet rush,troublemaker,97,2008-11-29,2008-11-29,1,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,4,0,2008Q4,1,4
alan jackson,a womans love,73,2007-04-14,2007-06-30,12,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,28,0,2007Q2,0,-2
alan jackson,country boy,49,2008-11-15,2009-03-21,19,Country,5RuCWf4bJC0rqA05b7nWfd,60.0,0.259,0.73,246080.0,0.684,1.53e-06,A,0.111,-10.803,Major,0.0351,139.037,4/4,0.564,52,0,2008Q4,1,4
alan jackson,good time,40,2008-05-24,2008-10-04,20,Country,6lyKOW0FNW6aAZdKVgoM8m,58.0,0.0355,0.652,306773.0,0.767,6.92e-06,A,0.397,-10.445,Major,0.0372,132.017,4/4,0.73,61,0,2008Q2,1,2
alan jackson,like red on a rose,80,2006-10-07,2006-11-04,5,Country,1ayFArNqsYgGT8gWWSscTD,37.0,0.634,0.598,213307.0,0.315,0.191,B,0.0825,-9.83,Major,0.0282,96.684,3/4,0.172,21,0,2006Q4,0,-4
alan jackson,sissys song,61,2009-04-25,2009-07-18,13,Country,68qJGt0E1gB4MaQOZcGGK5,46.0,0.912,0.721,182973.0,0.253,1.27e-05,F,0.105,-12.582,Major,0.0277,92.089,4/4,0.43,40,0,2009Q2,1,6
alan jackson,small town southern man,42,2008-01-19,2008-05-31,20,Country,5ExWY6ojo1Qm3rC7iaEqx2,54.0,0.12,0.683,280267.0,0.438,8.49e-06,D#,0.269,-12.433,Major,0.0264,132.951,4/4,0.568,59,0,2008Q1,1,1
alejandro sanz,a la primera persona,100,2006-11-25,2006-11-25,1,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,1,0,2006Q4,0,-4
alice in chains,check my brain,92,2009-10-03,2009-10-24,4,Alternative,2O2ii9OPZYh1NBXo9FtE0Y,52.0,3.28e-06,0.44,237907.0,0.844,0.0514,A#,0.723,-3.315,Major,0.0461,113.989,4/4,0.304,9,0,2009Q4,0,8
alice in chains,check my brain,92,2009-10-03,2009-10-24,4,Children’s Music,2O2ii9OPZYh1NBXo9FtE0Y,54.0,3.28e-06,0.44,237907.0,0.844,0.0514,A#,0.723,-3.315,Major,0.0461,113.989,4/4,0.304,9,0,2009Q4,0,8
alice in chains,check my brain,92,2009-10-03,2009-10-24,4,Rock,2O2ii9OPZYh1NBXo9FtE0Y,55.0,3.28e-06,0.44,237907.0,0.844,0.0514,A#,0.723,-3.315,Major,0.0461,113.989,4/4,0.304,9,0,2009Q4,0,8
alicia keys,doesnt mean anything,60,2009-10-10,2009-12-12,10,R&B,5bpx60gYQoDDJcP7vBygPB,58.0,0.036,0.712,272613.0,0.407,0.000291,E,0.0963,-7.104,Minor,0.0308,103.97,4/4,0.0997,41,0,2009Q4,0,8
alicia keys,doesnt mean anything,60,2009-10-10,2009-12-12,10,Soul,5bpx60gYQoDDJcP7vBygPB,58.0,0.036,0.712,272613.0,0.407,0.000291,E,0.0963,-7.104,Minor,0.0308,103.97,4/4,0.0997,41,0,2009Q4,0,8
alicia keys,like youll never see me again,12,2007-11-24,2008-05-03,24,R&B,3JHDtmFdX9kdx9wz0md98U,57.0,0.174,0.562,315360.0,0.658,0.000285,G,0.102,-8.072,Major,0.0314,127.81,4/4,0.268,89,0,2007Q4,0,0
alicia keys,like youll never see me again,12,2007-11-24,2008-05-03,24,Soul,3JHDtmFdX9kdx9wz0md98U,57.0,0.174,0.562,315360.0,0.658,0.000285,G,0.102,-8.072,Major,0.0314,127.81,4/4,0.268,89,0,2007Q4,0,0
alicia keys,no one,1,2007-09-22,2008-06-14,39,Pop,6IwKcFdiRQZOWeYNhUiWIv,80.0,0.0209,0.644,253813.0,0.548,8.68e-06,C#,0.134,-5.416,Minor,0.0286,90.042,4/4,0.166,100,1,2007Q3,0,-1
alicia keys,no one,1,2007-09-22,2008-06-14,39,R&B,6IwKcFdiRQZOWeYNhUiWIv,80.0,0.0209,0.644,253813.0,0.548,8.68e-06,C#,0.134,-5.416,Minor,0.0286,90.042,4/4,0.166,100,1,2007Q3,0,-1
alicia keys,no one,1,2007-09-22,2008-06-14,39,Soul,6IwKcFdiRQZOWeYNhUiWIv,80.0,0.0209,0.644,253813.0,0.548,8.68e-06,C#,0.134,-5.416,Minor,0.0286,90.042,4/4,0.166,100,1,2007Q3,0,-1
